# delta; F_drive; F_brake; gamma_y
0.07250; 309.83943; -0.00000; 126.10878
0.07617; 307.40545; -0.00000; 125.66771
0.08027; 304.67731; -0.00000; 125.15784
0.08481; 301.65108; -0.00000; 124.57122
0.08981; 298.32325; -0.00000; 123.89837
0.09529; 294.69036; -0.00000; 123.12795
0.10129; 290.75000; -0.00000; 122.24678
0.10783; 286.50282; -0.00000; 121.23990
0.11494; 281.95388; -0.00000; 120.09036
0.12263; 277.11219; -0.00000; 118.77840
0.13094; 271.98854; -0.00000; 117.27991
0.13990; 266.59342; -0.00000; 115.56481
0.14957; 260.93629; -0.00000; 113.59487
0.16002; 255.02550; -0.00000; 111.32042
0.17138; 248.86725; -0.00000; 108.67421
0.18379; 242.46431; -0.00000; 105.56123
0.19751; 235.82434; -0.00000; 101.85047
0.21284; 228.98895; -0.00000; 97.37362
0.23015; 222.08102; -0.00000; 91.93286
0.24980; 215.35884; -0.00000; 85.32115
0.26178; 205.21738; -0.00000; 77.27443
0.26179; 190.34749; -0.00000; 67.49357
0.26179; 176.04022; -0.00000; 55.91721
0.26179; 163.06945; -0.00001; 42.50347
0.26178; 152.14456; -0.00001; 27.19123
0.16725; 106.77604; -0.00001; -8.61572
-0.02011; 121.40829; -0.00001; -67.79808
-0.20452; 185.09525; -0.00000; -78.08839
-0.12123; 135.64033; -0.00001; -62.28006
-0.05138; 98.89416; -0.00001; -39.49780
-0.04700; 92.65223; -0.00001; -30.27003
-0.04261; 88.22457; -0.00001; -21.83950
-0.04329; 86.17902; -0.00001; -15.63455
-0.09426; 96.71782; -0.00001; -21.77580
-0.26162; 157.47414; -0.00001; -36.80947
-0.25497; 145.69478; -0.00001; -21.66469
-0.08872; 93.47301; -0.00001; 34.90430
-0.25506; 137.91819; -0.00001; -1.49885
-0.26179; 137.36636; -0.00001; 15.99849
-0.26180; 137.68521; -0.00001; 36.20387
-0.09398; 158.24465; -0.00001; 95.61478
0.07448; 225.27922; -0.00000; 110.89628
0.15302; 249.72511; -0.00000; 110.74638
0.16588; 246.57374; -0.00000; 108.71685
0.17814; 242.29735; -0.00000; 106.25924
0.19094; 237.36596; -0.00000; 103.30863
0.20480; 231.98961; -0.00000; 99.76414
0.22012; 226.32460; -0.00000; 95.48770
0.23732; 220.55533; -0.00000; 90.30542
0.25667; 214.88903; -0.00000; 84.01638
0.26164; 203.10093; -0.00000; 76.29044
0.26168; 189.12101; -0.00000; 66.85945
0.24953; 170.38873; -0.00000; 55.06552
0.05141; 86.11845; -0.00001; 11.43168
0.00895; 81.65454; -0.00001; -5.05895
0.00320; 81.66554; -0.00001; -5.89185
0.00004; 81.64510; -0.00001; -5.66652
-0.00154; 81.59169; -0.00001; -4.96701
-0.00217; 81.53095; -0.00001; -4.11130
-0.00227; 81.47901; -0.00001; -3.26802
-0.00212; 81.44100; -0.00001; -2.51890
-0.00187; 81.41587; -0.00001; -1.89363
-0.00160; 81.40029; -0.00001; -1.39074
