# inner_x; inner_y
-85.21537; -48.64681
-84.36729; -48.03886
-83.60103; -47.37448
-82.79002; -46.76617
-81.98615; -46.18870
-81.20870; -45.64599
-80.47250; -45.14493
-79.90921; -44.59251
-79.46972; -44.05299
-79.05416; -43.59946
-78.73555; -43.11954
-78.55389; -42.58363
-78.50513; -42.04253
-78.45269; -41.47526
-78.44224; -40.80708
-78.48424; -40.07717
-78.72689; -39.35440
-78.92403; -38.62766
-79.20151; -37.88378
-79.63973; -37.07805
-80.16573; -36.16037
-80.71754; -35.20148
-81.24480; -34.30488
-81.76538; -33.43582
-82.22614; -32.54211
-82.66743; -31.61640
-83.03437; -30.60212
-83.33681; -29.46436
-83.59117; -28.21464
-83.74918; -26.87415
-83.86448; -25.47156
-83.89185; -24.04268
-83.84196; -22.58727
-83.66625; -21.11804
-83.22805; -19.72163
-82.50195; -18.46003
-81.56109; -17.34498
-80.53558; -16.34421
-79.44397; -15.53548
-78.32823; -14.85292
-77.17774; -14.22859
-75.96955; -13.72568
-74.75958; -13.28900
-73.58204; -12.88318
-72.45875; -12.50952
