# delta; F_drive; F_brake; gamma_y
-0.00000; 81.37969; -0.00006; 0.00105
-0.00001; 81.37969; -0.00006; 0.00195
-0.00000; 81.37969; -0.00006; 0.00310
-0.00000; 81.37969; -0.00006; 0.00428
0.00001; 81.37969; -0.00006; 0.00503
0.00002; 81.37970; -0.00006; 0.00451
0.00004; 81.37970; -0.00006; 0.00160
0.00006; 81.37970; -0.00006; -0.00508
0.00008; 81.37971; -0.00006; -0.01696
0.00010; 81.37971; -0.00006; -0.03474
0.00008; 81.37971; -0.00006; -0.05714
0.00001; 81.37972; -0.00006; -0.08021
-0.00015; 81.37985; -0.00006; -0.09596
-0.00054; 81.38065; -0.00006; -0.10568
-0.00208; 81.39240; -0.00006; -0.25769
-0.01187; 81.80945; -0.00006; -1.75327
-0.01417; 81.78369; -0.00006; 2.05790
-0.00379; 81.64389; -0.00006; 8.06808
-0.00147; 81.57340; -0.00006; 6.99592
-0.01068; 81.55926; -0.00006; 3.27180
-0.01323; 81.66620; -0.00006; 5.37978
-0.00134; 81.88601; -0.00006; 10.74106
0.00227; 81.78771; -0.00006; 8.62862
0.00125; 81.51487; -0.00006; 5.32050
0.00050; 81.43193; -0.00006; 3.58560
0.00217; 81.45234; -0.00006; 3.11684
0.00229; 81.41848; -0.00006; 1.79942
0.00204; 81.39688; -0.00006; 0.73331
0.00154; 81.38576; -0.00006; -0.03785
0.00099; 81.38215; -0.00006; -0.48203
0.00040; 81.38171; -0.00006; -0.68855
-0.00041; 81.38395; -0.00006; -0.74813
-0.00189; 81.39558; -0.00006; -0.71871
-0.00638; 81.50361; -0.00006; -0.94851
-0.03183; 84.42030; -0.00006; -4.58337
-0.04345; 85.35760; -0.00006; 4.16222
-0.05667; 87.29295; -0.00006; 12.90057
-0.05684; 87.15671; -0.00006; 26.06250
-0.01019; 90.36627; -0.00006; 46.27228
0.00660; 89.05355; -0.00006; 38.92143
0.01586; 86.84782; -0.00006; 28.42845
0.01615; 83.99189; -0.00006; 16.77111
0.01321; 82.36989; -0.00006; 7.89752
0.00949; 81.69147; -0.00006; 2.16192
0.00527; 81.45326; -0.00006; -1.22656
0.00169; 81.41669; -0.00006; -2.54914
-0.00201; 81.44973; -0.00006; -2.74185
-0.00943; 81.72826; -0.00006; -2.83730
-0.05422; 90.55935; -0.00006; -9.72052
-0.06332; 89.51929; -0.00006; 7.99457
-0.01949; 86.17865; -0.00006; 34.69152
-0.02820; 83.79198; -0.00006; 26.72432
-0.02898; 83.82676; -0.00006; 27.53410
-0.01173; 85.15156; -0.00006; 32.87518
-0.00318; 84.69267; -0.00006; 29.20121
0.02185; 88.12507; -0.00006; 28.43433
0.02661; 85.43479; -0.00006; 15.48048
0.02160; 82.79918; -0.00006; 3.09713
0.00681; 81.65205; -0.00006; -6.34701
-0.01934; 83.77068; -0.00006; -11.69323
-0.05810; 92.10766; -0.00005; -12.04635
-0.09992; 104.93641; -0.00005; -3.89509
-0.20178; 167.05694; -0.00003; -9.76476
-0.26179; 202.53273; -0.00002; 17.91741
-0.26180; 191.79934; -0.00002; 71.67340
-0.26180; 194.60248; -0.00002; 113.17625
-0.26180; 205.36851; -0.00002; 142.64274
-0.26174; 219.12378; -0.00002; 163.76538
-0.25991; 233.59026; -0.00002; 180.15991
-0.26180; 247.09160; -0.00002; 191.10108
-0.26180; 260.98753; -0.00002; 200.89179
-0.26179; 274.22396; -0.00001; 208.88401
-0.25992; 287.57797; -0.00001; 216.27562
-0.11771; 398.19747; -0.00001; 254.96688
0.01199; 484.25531; -0.00001; 260.78276
0.03987; 472.52359; -0.00001; 254.69562
0.06231; 455.48407; -0.00001; 247.36801
0.08407; 436.78906; -0.00001; 238.78814
0.10683; 417.48306; -0.00001; 228.68127
0.13163; 398.14248; -0.00001; 216.64529
0.15930; 379.42650; -0.00001; 202.19177
0.19065; 362.36040; -0.00001; 184.77964
0.22658; 348.55521; -0.00001; 163.86224
0.26172; 334.91016; -0.00001; 138.82644
0.26178; 293.07056; -0.00001; 107.60921
0.26178; 255.05391; -0.00002; 68.62111
0.12508; 114.16790; -0.00004; -20.96212
0.03882; 101.03285; -0.00005; -65.60382
-0.00256; 100.81619; -0.00005; -62.08080
-0.01826; 94.09075; -0.00005; -45.59015
-0.02110; 87.74713; -0.00006; -28.53538
-0.01844; 83.97297; -0.00006; -15.08201
-0.01377; 82.23643; -0.00006; -5.91783
-0.00912; 81.62052; -0.00006; -0.51728
-0.00490; 81.45047; -0.00006; 2.24304
-0.00207; 81.42444; -0.00006; 3.01880
-0.00034; 81.41684; -0.00006; 2.80524
0.00055; 81.40575; -0.00006; 2.16294
0.00088; 81.39458; -0.00006; 1.44712
0.00089; 81.38673; -0.00006; 0.82886
0.00072; 81.38227; -0.00006; 0.36034
0.00048; 81.38040; -0.00006; 0.05779
0.00027; 81.37989; -0.00006; -0.09557
0.00012; 81.37981; -0.00006; -0.14765
0.00002; 81.37979; -0.00006; -0.14237
-0.00003; 81.37976; -0.00006; -0.11118
-0.00004; 81.37973; -0.00006; -0.07401
-0.00004; 81.37971; -0.00006; -0.04159
-0.00003; 81.37970; -0.00006; -0.01804
-0.00002; 81.37970; -0.00006; -0.00350
-0.00001; 81.37969; -0.00006; 0.00380
-0.00000; 81.37969; -0.00006; 0.00566
0.00001; 81.37969; -0.00006; 0.00469
0.00001; 81.37969; -0.00006; 0.00154
0.00001; 81.37969; -0.00006; -0.00201
0.00001; 81.37969; -0.00006; -0.00432
0.00000; 81.37969; -0.00006; -0.00700
-0.00000; 81.37969; -0.00006; -0.00801
-0.00001; 81.37969; -0.00006; -0.00660
-0.00002; 81.37970; -0.00006; -0.00267
-0.00003; 81.37970; -0.00006; 0.00288
-0.00003; 81.37970; -0.00006; 0.00974
-0.00002; 81.37970; -0.00006; 0.01705
